EID,GPU Duration (µs),Input Vertices Read,Input Primitives,GS Primitives,Rasterizer Invocations,Rasterized Primitives,Samples Passed,VS Invocations,TCS Invocations,TES Invocations,GS Invocations,PS Invocations,CS Invocations
424,12745.728,40327572,13442524,0,13442524,8430626,411115859,40327572,0,0,0,411115859,0
69,1501.184,0,0,0,0,0,0,0,0,0,0,0,4262656
77,351.232,0,0,0,0,0,0,0,0,0,0,0,12582720
120,181.248,0,0,0,0,0,0,0,0,0,0,0,2097152
200,180.224,0,0,0,0,0,0,0,0,0,0,0,2097152
280,180.224,0,0,0,0,0,0,0,0,0,0,0,2097152
240,179.776,0,0,0,0,0,0,0,0,0,0,0,2097152
160,179.20,0,0,0,0,0,0,0,0,0,0,0,2097152
360,179.20,0,0,0,0,0,0,0,0,0,0,0,2097152
400,178.912,0,0,0,0,0,0,0,0,0,0,0,2097152
320,178.176,0,0,0,0,0,0,0,0,0,0,0,2097152
168,34.816,0,0,0,0,0,0,0,0,0,0,0,2097152
248,34.432,0,0,0,0,0,0,0,0,0,0,0,2097152
208,33.792,0,0,0,0,0,0,0,0,0,0,0,2097152
288,33.792,0,0,0,0,0,0,0,0,0,0,0,2097152
328,33.792,0,0,0,0,0,0,0,0,0,0,0,2097152
368,33.792,0,0,0,0,0,0,0,0,0,0,0,2097152
128,30.72,0,0,0,0,0,0,0,0,0,0,0,2097152
88,30.112,0,0,0,0,0,0,0,0,0,0,0,2097152
436,16.384,3,1,0,1,1,3509760,3,0,0,0,3509760,0
352,5.152,0,0,0,0,0,0,0,0,0,0,0,32768
104,5.12,0,0,0,0,0,0,0,0,0,0,0,256
112,5.12,0,0,0,0,0,0,0,0,0,0,0,32768
144,5.12,0,0,0,0,0,0,0,0,0,0,0,256
192,5.12,0,0,0,0,0,0,0,0,0,0,0,32768
232,5.12,0,0,0,0,0,0,0,0,0,0,0,32768
264,5.12,0,0,0,0,0,0,0,0,0,0,0,256
304,5.12,0,0,0,0,0,0,0,0,0,0,0,256
312,5.12,0,0,0,0,0,0,0,0,0,0,0,32768
392,5.12,0,0,0,0,0,0,0,0,0,0,0,32768
184,4.80,0,0,0,0,0,0,0,0,0,0,0,256
152,4.768,0,0,0,0,0,0,0,0,0,0,0,32768
224,4.768,0,0,0,0,0,0,0,0,0,0,0,256
296,4.576,0,0,0,0,0,0,0,0,0,0,0,32768
336,4.576,0,0,0,0,0,0,0,0,0,0,0,32768
384,4.544,0,0,0,0,0,0,0,0,0,0,0,256
48,4.192,0,0,0,0,0,0,0,0,0,0,0,0
96,4.096,0,0,0,0,0,0,0,0,0,0,0,32768
176,4.096,0,0,0,0,0,0,0,0,0,0,0,32768
216,4.096,0,0,0,0,0,0,0,0,0,0,0,32768
256,4.096,0,0,0,0,0,0,0,0,0,0,0,32768
272,4.096,0,0,0,0,0,0,0,0,0,0,0,32768
344,4.096,0,0,0,0,0,0,0,0,0,0,0,256
376,4.096,0,0,0,0,0,0,0,0,0,0,0,32768
136,3.744,0,0,0,0,0,0,0,0,0,0,0,32768
412,3.648,0,0,0,0,0,0,0,0,0,0,0,64
52,2.432,0,0,0,0,0,0,0,0,0,0,0,0
80,2.432,0,0,0,0,0,0,0,0,0,0,0,0
56,2.272,0,0,0,0,0,0,0,0,0,0,0,0
405,2.272,0,0,0,0,0,0,0,0,0,0,0,0
50,2.144,0,0,0,0,0,0,0,0,0,0,0,0
54,1.76,0,0,0,0,0,0,0,0,0,0,0,0
58,1.536,0,0,0,0,0,0,0,0,0,0,0,0
452,1.024,222,74,0,74,74,57890,136,0,0,0,57890,0
456,0.00,30,10,0,10,10,5120,8,0,0,0,5120,0
